Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nf","CAPC1005X55N",-43.021200,-33.020000,180.000000,bottom
"C2","100nf","CAPC1005X55N",-62.071200,-33.020000,180.000000,bottom
"C3","100nf","CAPC1005X55N",-81.121200,-33.020000,180.000000,bottom
"C4","100nf","CAPC1005X55N",-81.121200,-79.851200,180.000000,bottom
"C5","100nf","CAPC1005X55N",-62.071200,-79.851200,180.000000,bottom
"C6","100nf","CAPC1005X55N",-43.021200,-79.851200,180.000000,bottom
"C7","100nf","CAPC1005X55N",-14.446200,-118.745000,180.000000,bottom
"C8","100nf","CAPC1005X55N",-62.071200,-60.801200,180.000000,bottom
"C9","100nf","CAPC1005X55N",13.335000,-85.407500,180.000000,bottom
"C10","100nf","CAPC1005X55N",32.385000,-79.851200,180.000000,bottom
"C11","100nf","CAPC1005X55N",51.435000,-79.851200,180.000000,bottom
"C12","100nf","CAPC1005X55N",70.485000,-85.407500,180.000000,bottom
"C13","100nf","CAPC1005X55N",13.335000,-66.357500,180.000000,bottom
"C14","100nf","CAPC1005X55N",32.385000,-60.801200,180.000000,bottom
"C15","100nf","CAPC1005X55N",51.435000,-60.801200,180.000000,bottom
"C16","100nf","CAPC1005X55N",70.485000,-66.357500,180.000000,bottom
"D1","SK6812MINI","YS-SK6812MINI-E",-81.254200,-76.439800,0.000000,bottom
"D2","SK6812MINI","YS-SK6812MINI-E",-62.071200,-76.439800,0.000000,bottom
"D3","SK6812MINI","YS-SK6812MINI-E",-43.021200,-76.535000,0.000000,bottom
"D4","SK6812MINI","YS-SK6812MINI-E",-61.950200,-57.135700,0.000000,bottom
"D5","SK6812MINI","YS-SK6812MINI-E",-81.121200,-29.718000,180.000000,bottom
"D6","SK6812MINI","YS-SK6812MINI-E",-62.071200,-29.718000,180.000000,bottom
"D7","SK6812MINI","YS-SK6812MINI-E",-43.021200,-29.718000,180.000000,bottom
"D8","SK6812MINI","YS-SK6812MINI-E",-14.529300,-115.333400,0.000000,bottom
"D9","SK6812MINI","YS-SK6812MINI-E",13.397400,-82.234000,0.000000,bottom
"D10","SK6812MINI","YS-SK6812MINI-E",32.284900,-76.962000,0.000000,bottom
"D11","SK6812MINI","YS-SK6812MINI-E",51.334900,-76.962000,0.000000,bottom
"D12","SK6812MINI","YS-SK6812MINI-E",70.384900,-82.234000,0.000000,bottom
"D13","SK6812MINI","YS-SK6812MINI-E",13.234900,-63.184000,180.000000,bottom
"D14","SK6812MINI","YS-SK6812MINI-E",32.284900,-57.658000,180.000000,bottom
"D15","SK6812MINI","YS-SK6812MINI-E",51.334900,-57.658000,180.000000,bottom
"D16","SK6812MINI","YS-SK6812MINI-E",70.384900,-63.184000,180.000000,bottom
"U1","Pico","RPi_Pico_SMD_TH",61.595000,-23.495000,90.000000,bottom
"U2","SN74LV1T34DBV","SOT-23-5",73.660000,-7.620000,180.000000,bottom
